"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "XML", "CSS", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\omnora OS\backend\services\whatsappAutomationService.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27, 171
"c:\omnora OS\backend\services\whatsappService.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\omnora OS\backend\shared\lib\dbService.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 71
"c:\omnora OS\backend\shared\lib\supabaseClient.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"c:\omnora OS\backend\shared\middleware\authGuard.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 42
"c:\omnora OS\backend\shared\middleware\errorHandler.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\omnora OS\backend\shared\middleware\tenantContext.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 71
"c:\omnora OS\backend\templates\home\electronics.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\omnora OS\backend\templates\home\fashion.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
"c:\omnora OS\backend\templates\home\general.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\omnora OS\backend\test-boundaries.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 120
"c:\omnora OS\backend\test_buckets.cjs", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\omnora OS\backend\test_db.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 28
"c:\omnora OS\backend\test_login_controller_final.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\omnora OS\backend\test_login_debug.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 37
"c:\omnora OS\backend\test_merchants.cjs", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\omnora OS\backend\test_subscription.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\omnora OS\backend\tests\QA-SECURITY-CHECKLIST.md", "Markdown", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 432
"c:\omnora OS\backend\tests\integration\bootstrap.test.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 73
"c:\omnora OS\backend\tests\integration\payment-security.test.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 51, 296
"c:\omnora OS\backend\tests\security\jwt.test.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 115
"c:\omnora OS\backend\tests\test_approval_flow.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 132
"c:\omnora OS\backend\tests\unit\config.test.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\omnora OS\backend\utils\LocalDB.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 46, 293
"c:\omnora OS\backend\utils\inventoryService.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 163
"c:\omnora OS\backend\utils\modelFactory.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 99
"c:\omnora OS\backend\utils\orderHashService.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 51
"c:\omnora OS\backend\utils\phoneFormatter.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 83
"c:\omnora OS\backend\utils\retryWithBackoff.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"c:\omnora OS\backend\utils\tenantStorage.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\omnora OS\backend\utils\tokenService.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 87
"c:\omnora OS\backend\utils\whatsappService.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 170
"c:\omnora OS\backend\validators\orderValidators.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\omnora OS\backend\validators\productValidators.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\omnora OS\backend\validators\userValidator.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\omnora OS\backend\validators\userValidators.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\omnora OS\backend\verify-mongodb.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 122
"c:\omnora OS\backend\verify-order-fix.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 52
"c:\omnora OS\backend\verify-serverless.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 98
"c:\omnora OS\backend\workers\notificationWorker.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 37, 210
"c:\omnora OS\backend\workers\taskWorker.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 124
"c:\omnora OS\boot-audit.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 35
"c:\omnora OS\check_cms.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\omnora OS\check_cms_deep.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\omnora OS\check_cms_dump.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\omnora OS\check_cms_native.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\omnora OS\check_cms_raw.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\omnora OS\check_products.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\omnora OS\check_products_full.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\omnora OS\check_products_raw.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\omnora OS\database\analytics.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 9, 6, 85
"c:\omnora OS\database\omnora_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, 0, 99, 133, 701
"c:\omnora OS\database\seeds.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 9, 5, 88
"c:\omnora OS\diag.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
